NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;meaning;syntactic_function
anima ad anima;yes;a;anima;Ecco, devono essere nati così questi ultimi due romanzi di famiglia, seguiti da lunghe ore al computer, uno accanto all'altro, gomito a gomito,;anima ad anima;, ogni tanto un sospiro, una lunga occhiata, qualche sorriso di tenerezza perché i due si adorano e si cercano come solo due innamoratini sanno fare, al di là delle loro abbondanti sessanta primavere. ;sg;juxtaposition/contact;modifier
balcone a balcone;yes;a;balcone;La comunità di gatti che mi ospita sta nell'appartamento in cui abitiamo, che confina,;balcone a balcone;, con un altro appartamento nel quale viveva fino a poco tempo fa una gatta vecchia e sola.;sg;juxtaposition/contact;modifier
balcone a balcone;yes;a;balcone;Così si sente superiore nel cortile, a esempio, sul cav. Bizzini, suo dirimpettaio,;balcone a balcone;, che vive con la figlia, il genero e i ragazzi un maschio e una femmina e potrebbe essere privilegiato, ma se sapesse scrollarsi di dosso il rischio di venir ficcato in un ospizio per anziani.;sg;juxtaposition/contact;modifier
bit a bit;yes;a;bit;Esegue l 'operazione di OR;bit a bit;tra i due operandio specificati, ponendo il risultato nel secondo.;sg;succession/iteration/distributivity;modifier
bit a bit;yes;a;bit;È compito di quest'ultimo trasmettere,;bit a bit;, l'informazione sul cavo e quindi al destinatario.;sg;succession/iteration/distributivity;modifier
bocca a bocca;yes;a;bocca;In attesa dell'arrivo dell'ambulanza gli hanno praticato il massaggio cardiaco e la respirazione;bocca a bocca;ma tutto è stato inutiule.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Alcune tecniche di rianimazione, come per esempio la respirazione;bocca a bocca;, possono risultare pericolose per il soccorritore: in questo modo si possono trasmettere molte malattie, soprattutto se l'infortunato ha delle perdite di sangue.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Nel bambino da 1 a 8 anni si fa la respirazione;bocca a bocca;, tenendo chiuse le narici con le dita.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Inoltre, l'aria insufflata presa dall'ambiente, o collegata a un erogatore di ossigeno contiene delle percentuali di ossigeno superiori a quelle insufflate con il metodo;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Tutto si vela, tutto si ammanta, tutto trapassa così in un mondo parallelo dove anche il dolore può stemperarsi nel calore delle leggende, nella familiarità dei lunghi racconti;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Se non avesse ripreso a respirare, doveva procedere con la respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Se non è possibile la respirazione;bocca a bocca;si può tentare una respirazione manuale la cui efficacia è molto inferiore.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;La respirazione artificiale andrebbe praticata attraverso strumenti medicali come il pallone ambu e, per motivi di igiene e profilassi, è sconsigliabile praticare la respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;La rinuncia alla propria individualità è celebrata in Breathing In POTH Breathing Out (sempre del 1977) dove,;bocca a bocca;e con le narici chiuse da filtri di sigaretta, l'una respira nella bocca dell'altro, in una rappresentazione tragica di cosa succede quando si dipende completamente da un'altra persona.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Cominciò a praticare la respirazione;bocca a bocca;a Phillip mentre scendeva le scale.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;In questo modo il soccorritore può ventilare l'infortunato evitando il contatto;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;È stato qualche anno fa e ricordo ogni minimo dettaglio: lui disteso per terra, attraverso la portiera schiacciata stava facendo la respirazione;bocca a bocca;a una donna che aveva perso conoscenza.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Se l'infortunato presenta delle fratture alla mandibola o alla mascella, si può procedere come nelcaso della respirazione;bocca a bocca;con la differenza che la bocca viene tenuta chiusa per evitare che fuoriesca l'aria insufflata, e le insufflazioni vanno fatte attraverso il naso.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Se non respira, intervenire per la respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Per i primi cinque minuti il massaggio non va interrotto (amenoche non si sia obbligati ad eseguire contemporaneamente la respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;La madre era sparita dietro le spalle larghe dello sconosciuto, i due stavano attaccati;bocca a bocca;e si stringevano forte.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Sembrava che ci fosse poco da fare per la piccola Jihan: «Il camionista ha portato dell'acqua per lavarla dal sangue, e io ho provato a farle la respirazione;bocca a bocca;».;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Questa posizione è indispensabile primadi praticare la respirazione;bocca a bocca;, altrimenti l'aria insufflata rischia di non raggiungere i polmoni.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Intanto io gli facevo la respirazione;bocca a bocca;e il massaggio cardiaco, gli cambiavo il pigiama sporco, lo tenevo su per la testa.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Non hai preso lezioni di pronto soccorso, non sai come si fa un massaggio cardiaco, non ti piace la respirazione;bocca a bocca;, trovi inutile quindi fermarti a guardare.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;E il protagonista ha imparato a fare la respirazione;bocca a bocca;leggendo le riviste gettate nella spazzatura.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;"Tu boccheggiavi e tossivi; poi ti facevano la respirazione";bocca a bocca;ed eri fuori pericolo.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Se, invece, la vittima dovesse presentarsi priva di sensi e avere difficoltà respiratorie, iniziate immediatamente la respirazione artificiale;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Karin levò la mano: Ma nella Bibbia c'è scritto che Dio ha soffiato la vita dentro il primo uomo... La respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;L'altro agente praticò a Sullivan la respirazione artificiale;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Si è trascinato per qualche metro finoall'uscita della fabbrica, poi è crollato sul marciapiede sotto gli occhi del giovane complice, che ha tentato inutilmente di animarlo con la respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;"Per oltre 15 minuti ha tenuto in vita un amico intrappolato sott'acqua soffiandogli aria nei polmoni con ripetute immersioni e altrettante ""respirazioni";bocca a bocca;""".";sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Il significato erotico del bacio deriverebbe dall'alimentazione;bocca a bocca;dell'infante.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Di più, provano a rianimare i due amici: massaggio cardiaco, respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;Nessuno parla dell'impiegato di banca che non è corrotto e che magari un giorno ha salvato la vita a un collega facendogli la respirazione;bocca a bocca;.;sg;juxtaposition/contact;modifier
braccio a braccio;yes;a;braccio;Primo edificio per la musica progettato dallo studio di Michel Rojkind, è il frutto di un processo progettuale sviluppato;braccio a braccio;con la direzione dell'Orchestra: le scelte riguardanti il tipo di sala, il numero di sedute e le destinazioni funzionali degli ambienti sono dunque condivise e volute dai successivi inquilini dello spazio.;sg;juxtaposition/contact;modifier
brano a brano;yes;a;brano;"""E siccome era stato portato lì davanti con tutti i suoi paramenti sacerdotali, iniziò un rito in cui";brano a brano;i paramenti gli venivano levati sinoa che rimase in quella vesticciola che a Firenze chiamano cioppa.;sg;succession/iteration/distributivity;modifier
brano a brano;yes;a;brano;Ma non primadi aver beccato Nauplio finoa levargli la pelle, a scuoiarlo,;brano a brano;.;sg;succession/iteration/distributivity;modifier
brano a brano;yes;a;brano;È sensibile ai tentativi dei poeti di rischiarare;brano a brano;l'ancora vasta oscurità delle cose non dette.;sg;succession/iteration/distributivity;modifier
campo a campo;yes;a;campo;E così, goccia a goccia, o meglio,;campo a campo;e casa a casa, in duemila anni la Chiesa ha potuto accumulare un patrimonio immenso, che nel passato era amministrato dal cosiddetto Obolo di San Pietro, e oggi lo è invece dal Pio Istituto per le Opere di Religione (IOR).;sg;succession/iteration/distributivity;modifier
casa a casa;yes;a;casa;E così, goccia a goccia, o meglio, campo a campo e;casa a casa;, in duemila anni la Chiesa ha potuto accumulare un patrimonio immenso, che nel passato era amministrato dal cosiddetto Obolo di San Pietro, e oggi lo è invece dal Pio Istituto per le Opere di Religione (IOR).;sg;succession/iteration/distributivity;modifier
