context_pre	pre_lemma
...	polemica
subì	subire
macinava	macinare
,	parola
frase,"	frase
muove	muovere
con	con
lanciare	lanciare
macinato	macinare
metri,	metro
fare	fare
Italia:	Italia
raccontato	raccontare
sfornano	sfornare
fanno	fare
ammucchiando	ammucchiare
bevuto""	bere
colpendo	colpire
sommandosi	sommare
assorbono	assorbire
mettere	mettere
chiamano"	chiamare
produceva"	produrre
firmando	firmare
spaziotempo	spaziotempo
costruito	costruire
ordinando	ordinare
sinistra	sinistra
risolvessero	risolvere
frullare	frullare
organizzare	organizzare
restituiti,restituire
permessi,	permesso
«	Lydia
macinano	macinare
Marte,	Marte
sopportare	sopportare
disegnavano	disegnare
fare	fare
scalpello	scalpello
ribatteva	ribattere
risposto	rispondere
rispondendo	rispondere
"""	rispondere
confronterebbe	confrontare
davvero	davvero
dolorose	doloroso
ribatte	ribattere
israeliane	israeliano
luterani	luterano
restituire	restituire
rintuzza	rintuzzare
ribattere	ribattere
rispondere	rispondere
rispondere	rispondere
rispondendo	rispondere
ribattere	ribattere
Masina	Masina
stesso,	stesso
rispondergli	rispondere
controbattendo	controbattere
rispondendo	rispondere
ribattere	ribattere
restituiva	restituire
reagire	reagire
rispondo	rispondere
all'attacco	attacco
restituito	restituire
reagito	reagire
ovvero	ovvero
fare"	fare
volanti,	volante
accatastate	accatastare
mangiare	mangiare
metteva	mettere
trafiggere	trafiggere
fanno	fare
su	su
successivi,	successivo
389:	389
produrre	produrre
scatenarsi	scatenare
vedere	vedere
trattamento,	trattamento
snocciolare	snocciolare
vita,	vita
snervante,	snervante
riunioni,	riunione
far"	fare
iniziano	iniziare
fare	fare
e	e
su	su
far	fare
fare	fare
a	a
instillare	instillare
accumulare	accumulare
ieri	ieri
testimoniare	testimoniare
accumulare	accumulare
laggiù,	laggiù
fatto	fare
accumulato	accumulare
faccio	fare
citare	citare
in	in
risparmiando	risparmiare
ambrosiana,	ambrosiano
indire	indire
distinguo	distinguere
incassate	incassare
vedere	vedere
potenzialità,"	potenzialità
riempie	riempire
strappare	strappare
togliere	togliere
compilava	compilare
soffitto:	soffitto
scatta	scattare
scatta	scattare
brandello,	brandello
inanella	inanellare
battezzava	battezzare
avuto	avere
influenzato	influenzare
via	via
dimostrare	dimostrare
inanellava	inanellare
atti	atto
km	km
edilizio,	edilizio
accavallando"	accavallare
tempo	tempo
affastellando	affastellare
addosso	addosso
di	di
strologando	strologare
continuamente	continuamente
macinando	macinare
strati,	strato
affastellare"	affastellare
vuoti,	vuoto
inchiodano	inchiodare
scriveva	scrivere
scrivere	scrivere
invia	inviare
scrive	scrivere
di	di
continuazione	continuare
sforna	sfornare
leggere	leggere
leggere	leggere
succhiando	succhiare
mille,	mille
recuperare"	recuperare
diede	dare
di	di
costruire	costruire
costruita	costruire
passo,	passo
edificare	edificare
mondo	mondo
lavoravano,	lavorare
-	essere
divorare	divorare
ingoiato	ingoiare
svizzera"	svizzera
fate	fare
risparmiare	risparmiare
sempre	sempre
compilare	compilare
totale,	totale
accumulo:	accumulare
con	con
accumula	accumulare
intrecciare	intrecciare
snocciola	snocciolare
